Host,CVE ID,CVSS Score,Asset Criticality,Description,NVD Link,Has KEV,EPSS,EPSS Percentile,CPE Data,Attack Vector (AV),Attack Complexity (AC),Privileges Required (PR),User Interaction (UI),Scope (S),Confidentiality (C),Integrity (I),Availability (A),Risk Score,Top Ten
10.0.0.1,CVE-2024-12029,8.4,5,"A remote code execution vulnerability exists in invoke-ai/invokeai versions 5.3.1 through 5.4.2 via the /api/v2/models/install API. The vulnerability arises from unsafe deserialization of model files using torch.load without proper validation. Attackers can exploit this by embedding malicious code in model files, which is executed upon loading. This issue is fixed in version 5.4.3.",https://nvd.nist.gov/vuln/detail/CVE-2024-12029,No,0.467840000,0.974200000,,N,L,N,N,U,H,H,H,100,Yes
10.0.0.2,CVE-2024-6842,5.9,1,"In version 1.5.5 of mintplex-labs/anything-llm, the `/setup-complete` API endpoint allows unauthorized users to access sensitive system settings. The data returned by the `currentSettings` function includes sensitive information such as API keys for search engines, which can be exploited by attackers to steal these keys and cause loss of user assets.",https://nvd.nist.gov/vuln/detail/CVE-2024-6842,No,0.142090000,0.937860000,,N,L,N,N,U,H,N,N,100,Yes
10.0.0.4,CVE-2024-11170,9.6,4,A vulnerability in danny-avila/librechat version git 81f2936 allows for path traversal due to improper sanitization of file paths by the multer middleware. This can lead to arbitrary file write and potentially remote code execution. The issue is fixed in version 0.7.6.,https://nvd.nist.gov/vuln/detail/CVE-2024-11170,No,0.004720000,0.617970000,,N,L,L,N,U,H,H,H,100,Yes
10.0.0.7,CVE-2025-0655,6.0,3,"A vulnerability in man-group/dtale versions 3.15.1 allows an attacker to override global state settings to enable the `enable_custom_filters` feature, which is typically restricted to trusted environments. Once enabled, the attacker can exploit the /test-filter endpoint to execute arbitrary system commands, leading to remote code execution (RCE). This issue is addressed in version 3.16.1.",https://nvd.nist.gov/vuln/detail/CVE-2025-0655,No,0.582920000,0.980120000,,N,L,N,N,U,H,H,H,100,Yes
10.0.0.8,CVE-2024-9362,8.1,3,"An unauthenticated directory traversal vulnerability exists in Polyaxon, affecting the latest version. This vulnerability allows an attacker to retrieve directory information and file contents from the server without proper authorization, leading to sensitive information disclosure. The issue enables access to system directories such as `/etc`, potentially resulting in significant security risks.",https://nvd.nist.gov/vuln/detail/CVE-2024-9362,No,0.014080000,0.787290000,,N,L,N,N,U,H,N,N,100,Yes
10.0.0.9,CVE-2024-12044,5.9,4,A remote code execution vulnerability exists in open-mmlab/mmdetection version v3.3.0. The vulnerability is due to the use of the `pickle.loads()` function in the `all_reduce_dict()` distributed training API without proper sanitization. This allows an attacker to execute arbitrary code by broadcasting a malicious payload to the distributed training network.,https://nvd.nist.gov/vuln/detail/CVE-2024-12044,No,0.006380000,0.680810000,,N,L,N,N,U,H,H,H,100,Yes
10.0.0.12,CVE-2024-12433,8.5,4,"A vulnerability in infiniflow/ragflow versions v0.12.0 allows for remote code execution. The RPC server in RagFlow uses a hard-coded AuthKey 'authkey=b'infiniflow-token4kevinhu'' which can be easily fetched by attackers to join the group communication without restrictions. Additionally, the server processes incoming data using pickle deserialization via `pickle.loads()` on `connection.recv()`, making it vulnerable to remote code execution. This issue is fixed in version 0.14.0.",https://nvd.nist.gov/vuln/detail/CVE-2024-12433,No,0.002900000,0.494130000,,N,L,N,N,U,H,H,H,100,Yes
10.0.0.13,CVE-2024-8859,5.4,5,"A path traversal vulnerability exists in mlflow/mlflow version 2.15.1. When users configure and use the dbfs service, concatenating the URL directly into the file protocol results in an arbitrary file read vulnerability. This issue occurs because only the path part of the URL is checked, while parts such as query and parameters are not handled. The vulnerability is triggered if the user has configured the dbfs service, and during usage, the service is mounted to a local directory.",https://nvd.nist.gov/vuln/detail/CVE-2024-8859,No,0.241540000,0.956070000,,N,L,N,N,U,H,N,N,100,Yes
10.0.0.14,CVE-2024-7034,4.6,5,"In open-webui version 0.3.8, the endpoint `/models/upload` is vulnerable to arbitrary file write due to improper handling of user-supplied filenames. The vulnerability arises from the usage of `file_path = f""{UPLOAD_DIR}/{file.filename}""` without proper input validation or sanitization. An attacker can exploit this by manipulating the `file.filename` parameter to include directory traversal sequences, causing the resulting `file_path` to escape the intended `UPLOAD_DIR` and potentially overwrite arbitrary files on the system. This can lead to unauthorized modifications of system binaries, configuration files, or sensitive data, potentially enabling remote command execution.",https://nvd.nist.gov/vuln/detail/CVE-2024-7034,No,0.003450000,0.540860000,,N,L,H,N,U,N,H,H,100,Yes
10.0.0.15,CVE-2024-5752,8.2,5,"A path traversal vulnerability exists in stitionai/devika, specifically in the project creation functionality. In the affected version beacf6edaa205a5a5370525407a6db45137873b3, the project name is not validated, allowing an attacker to create a project with a crafted name that traverses directories. This can lead to arbitrary file overwrite when the application generates code and saves it to the specified project directory, potentially resulting in remote code execution.",https://nvd.nist.gov/vuln/detail/CVE-2024-5752,No,0.005760000,0.662140000,,N,L,N,N,U,N,H,H,100,Yes
10.0.0.19,CVE-2024-9617,6.1,3,"An IDOR vulnerability in danswer-ai/danswer v0.3.94 allows an attacker to view any files. The application does not verify whether the attacker is the creator of the file, allowing the attacker to directly call the GET /api/chat/file/{file_id} interface to view any user's file.",https://nvd.nist.gov/vuln/detail/CVE-2024-9617,No,0.066940000,0.903380000,,N,L,L,N,U,H,N,N,100,No
10.0.0.17,CVE-2024-7773,8.7,3,"A vulnerability in ollama/ollama version 0.1.37 allows for remote code execution (RCE) due to improper input validation in the handling of zip files. The vulnerability, known as ZipSlip, occurs in the parseFromZipFile function in server/model.go. The code does not check for directory traversal sequences (../) in file names within the zip archive, allowing an attacker to write arbitrary files to the file system. This can be exploited to create files such as /etc/ld.so.preload and a malicious shared library, leading to RCE.",https://nvd.nist.gov/vuln/detail/CVE-2024-7773,No,0.006150000,0.674090000,cpe:2.3:a:ollama:ollama:0.1.37:*:*:*:*:*:*:*,N,L,N,N,U,H,H,H,95.51777281285172,No
10.0.0.20,CVE-2024-8021,7.8,2,"An open redirect vulnerability exists in the latest version of gradio-app/gradio. The vulnerability allows an attacker to redirect users to a malicious website by URL encoding. This can be exploited by sending a crafted request to the application, which results in a 302 redirect to an attacker-controlled site.",https://nvd.nist.gov/vuln/detail/CVE-2024-8021,No,0.007150000,0.700300000,cpe:2.3:a:gradio_project:gradio:-:*:*:*:*:python:*:*,N,L,N,R,C,L,L,N,92.19902914898685,No
10.0.0.3,CVE-2024-10624,6.4,1,"A Regular Expression Denial of Service (ReDoS) vulnerability exists in the gradio-app/gradio repository, affecting the gr.Datetime component. The affected version is git commit 98cbcae. The vulnerability arises from the use of a regular expression `^(?:\s*now\s*(?:-\s*(\d+)\s*([dmhs]))?)?\s*$` to process user input. In Python's default regex engine, this regular expression can take polynomial time to match certain crafted inputs. An attacker can exploit this by sending a crafted HTTP request, causing the gradio process to consume 100% CPU and potentially leading to a Denial of Service (DoS) condition on the server.",https://nvd.nist.gov/vuln/detail/CVE-2024-10624,No,0.007250000,0.702680000,,N,L,N,N,U,N,N,H,85.42311019058417,No
10.0.0.18,CVE-2024-10835,6.2,2,"In eosphoros-ai/db-gpt version v0.6.0, the web API `POST /api/v1/editor/sql/run` allows execution of arbitrary SQL queries without any access control. This vulnerability can be exploited by attackers to perform Arbitrary File Write using DuckDB SQL, enabling them to write arbitrary files to the victim's file system. This can potentially lead to Remote Code Execution (RCE).",https://nvd.nist.gov/vuln/detail/CVE-2024-10835,No,0.004680000,0.616510000,,N,L,N,N,U,N,H,H,79.14877299882535,No
10.0.0.23,CVE-2024-11041,8.1,1,"vllm-project vllm version v0.6.2 contains a vulnerability in the MessageQueue.dequeue() API function. The function uses pickle.loads to parse received sockets directly, leading to a remote code execution vulnerability. An attacker can exploit this by sending a malicious payload to the MessageQueue, causing the victim's machine to execute arbitrary code.",https://nvd.nist.gov/vuln/detail/CVE-2024-11041,No,0.003270000,0.525990000,,N,L,N,N,U,H,H,H,73.56644873123827,No
10.0.0.22,CVE-2024-10950,7.5,2,"In binary-husky/gpt_academic version <= 3.83, the plugin `CodeInterpreter` is vulnerable to code injection caused by prompt injection. The root cause is the execution of user-provided prompts that generate untrusted code without a sandbox, allowing the execution of parts of the LLM-generated code. This vulnerability can be exploited by an attacker to achieve remote code execution (RCE) on the application backend server, potentially gaining full control of the server.",https://nvd.nist.gov/vuln/detail/CVE-2024-10950,No,0.004360000,0.600330000,,N,L,L,N,U,H,H,H,71.67179802373118,No
10.0.0.10,CVE-2024-12760,4.3,2,"An open redirect vulnerability in bentoml/bentoml v1.3.9 allows a remote unauthenticated attacker to redirect users to arbitrary websites via a specially crafted URL. This can be exploited for phishing attacks, malware distribution, and credential theft.",https://nvd.nist.gov/vuln/detail/CVE-2024-12760,No,0.004340000,0.599480000,,N,L,N,R,C,L,L,N,69.49179105975857,No
